Spot_ETHBTC,ETH-BTC
Spot_ATOMBTC,ATOM-BTC
Spot_ATOMUSDT,ATOM-USDT
Spot_ONEUSDT,ONE-USDT
Spot_FTMUSDT,FTM-USDT
Spot_ALGOBTC,ALGO-BTC
Spot_ALGOUSDT,ALGO-USDT
Spot_DOGEBTC,DOGE-BTC
Spot_DOGEUSDT,DOGE-USDT
Spot_WINUSDT,WIN-USDT
Spot_CVCUSDT,CVC-USDT
Spot_CHZBTC,CHZ-BTC
Spot_CHZUSDT,CHZ-USDT
Spot_BANDUSDT,BAND-USDT
Spot_XTZUSDT,XTZ-USDT
Spot_RENUSDT,REN-USDT
Spot_RVNUSDT,RVN-USDT
Spot_HBARBTC,HBAR-BTC
Spot_HBARUSDT,HBAR-USDT
Spot_STXBTC,STX-BTC
Spot_STXUSDT,STX-USDT
Spot_CTXCUSDT,CTXC-USDT
Spot_BCHBTC,BCH-BTC
Spot_BCHUSDT,BCH-USDT
Spot_LSKUSDT,LSK-USDT
Spot_BNTUSDT,BNT-USDT
Spot_SOLBTC,SOL-BTC
Spot_SOLUSDT,SOL-USDT
Spot_MDTUSDT,MDT-USDT
Spot_KNCUSDT,KNC-USDT
Spot_LRCUSDT,LRC-USDT
Spot_COMPBTC,COMP-BTC
Spot_COMPUSDT,COMP-USDT
Spot_SCUSDT,SC-USDT
Spot_ZENUSDT,ZEN-USDT
Spot_SNXUSDT,SNX-USDT
Spot_DGBUSDT,DGB-USDT
Spot_MKRBTC,MKR-BTC
Spot_MKRUSDT,MKR-USDT
Spot_DCRUSDT,DCR-USDT
Spot_STORJUSDT,STORJ-USDT
Spot_MANAUSDT,MANA-USDT
Spot_YFIUSDT,YFI-USDT
Spot_BALUSDT,BAL-USDT
Spot_BTCDAI,BTC-DAI
Spot_ETHDAI,ETH-DAI
Spot_JSTUSDT,JST-USDT
Spot_ANTBTC,ANT-BTC
Spot_ANTUSDT,ANT-USDT
Spot_CRVBTC,CRV-BTC
Spot_CRVUSDT,CRV-USDT
Spot_SANDUSDT,SAND-USDT
Spot_NMRUSDT,NMR-USDT
Spot_DOTBTC,DOT-BTC
Spot_DOTUSDT,DOT-USDT
Spot_LUNAUSDT,LUNA-USDT
Spot_RSRUSDT,RSR-USDT
Spot_TRBUSDT,TRB-USDT
Spot_WBTCBTC,WBTC-BTC
Spot_SUSHIUSDT,SUSHI-USDT
Spot_KSMUSDT,KSM-USDT
Spot_EGLDUSDT,EGLD-USDT
Spot_DIAUSDT,DIA-USDT
Spot_UMAUSDT,UMA-USDT
Spot_UNIBTC,UNI-BTC
Spot_UNIUSDT,UNI-USDT
Spot_OXTUSDT,OXT-USDT
Spot_SUNUSDT,SUN-USDT
Spot_AVAXBTC,AVAX-BTC
Spot_AVAXUSDT,AVAX-USDT
Spot_FLMUSDT,FLM-USDT
Spot_UTKUSDT,UTK-USDT
Spot_ALPHAUSDT,ALPHA-USDT
Spot_AAVEBTC,AAVE-BTC
Spot_AAVEETH,AAVE-ETH
Spot_AAVEUSDT,AAVE-USDT
Spot_NEARBTC,NEAR-BTC
Spot_NEARUSDT,NEAR-USDT
Spot_FILBTC,FIL-BTC
Spot_FILUSDT,FIL-USDT
Spot_AXSUSDT,AXS-USDT
Spot_XEMUSDT,XEM-USDT
Spot_SKLUSDT,SKL-USDT
Spot_GRTBTC,GRT-BTC
Spot_GRTUSDT,GRT-USDT
Spot_1INCHUSDT,1INCH-USDT
Spot_CELOUSDT,CELO-USDT
Spot_BADGERUSDT,BADGER-USDT
Spot_OMUSDT,OM-USDT
Spot_PERPUSDT,PERP-USDT
Spot_CFXUSDT,CFX-USDT
Spot_FORTHUSDT,FORTH-USDT
Spot_SLPUSDT,SLP-USDT
Spot_SHIBUSDT,SHIB-USDT
Spot_ICPUSDT,ICP-USDT
Spot_ARUSDT,AR-USDT
Spot_POLSUSDT,POLS-USDT
Spot_MASKUSDT,MASK-USDT
Spot_LPTUSDT,LPT-USDT
Spot_ERNUSDT,ERN-USDT
Spot_KLAYUSDT,KLAY-USDT
Spot_PHAUSDT,PHA-USDT
Spot_MLNUSDT,MLN-USDT
Spot_CLVUSDT,CLV-USDT
Spot_FLOWUSDT,FLOW-USDT
Spot_MINAUSDT,MINA-USDT
Spot_RAYUSDT,RAY-USDT
Spot_GHSTUSDT,GHST-USDT
Spot_WAXPUSDT,WAXP-USDT
Spot_XECUSDT,XEC-USDT
Spot_ELFUSDT,ELF-USDT
Spot_DYDXUSDT,DYDX-USDT
Spot_DYDXBTC,DYDX-BTC
Spot_GALAUSDT,GALA-USDT
Spot_ILVUSDT,ILV-USDT
Spot_YGGUSDT,YGG-USDT
Spot_FRONTUSDT,FRONT-USDT
Spot_CVPUSDT,CVP-USDT
Spot_AGLDUSDT,AGLD-USDT
Spot_SOLETH,SOL-ETH
Spot_AUCTIONUSDT,AUCTION-USDT
Spot_MOVRUSDT,MOVR-USDT
Spot_CITYUSDT,CITY-USDT
Spot_ENSUSDT,ENS-USDT
Spot_DOTETH,DOT-ETH
Spot_KP3RUSDT,KP3R-USDT
Spot_RNDRUSDT,RNDR-USDT
Spot_ALCXUSDT,ALCX-USDT
Spot_BICOUSDT,BICO-USDT
Spot_FXSUSDT,FXS-USDT
Spot_CVXUSDT,CVX-USDT
Spot_PEOPLEUSDT,PEOPLE-USDT
Spot_SPELLUSDT,SPELL-USDT
Spot_JOEUSDT,JOE-USDT
Spot_ATOMETH,ATOM-ETH
Spot_NEARETH,NEAR-ETH
Spot_ACHUSDT,ACH-USDT
Spot_IMXUSDT,IMX-USDT
Spot_GLMRUSDT,GLMR-USDT
Spot_UNIETH,UNI-ETH
Spot_CRVETH,CRV-ETH
Spot_API3USDT,API3-USDT
Spot_ACAUSDT,ACA-USDT
Spot_XNOUSDT,XNO-USDT
Spot_WOOUSDT,WOO-USDT
Spot_TUSDT,T-USDT
Spot_ASTRUSDT,ASTR-USDT
Spot_GMTUSDT,GMT-USDT
Spot_KDAUSDT,KDA-USDT
Spot_APEUSDT,APE-USDT
Spot_APEBTC,APE-BTC
Spot_GALUSDT,GAL-USDT
Spot_LDOUSDT,LDO-USDT
Spot_OPUSDT,OP-USDT
Spot_FILETH,FIL-ETH
Spot_LUNCUSDT,LUNC-USDT
Spot_GMXUSDT,GMX-USDT
Spot_APTUSDT,APT-USDT
Spot_MAGICUSDT,MAGIC-USDT
Spot_RPLUSDT,RPL-USDT
Spot_SSVUSDT,SSV-USDT
Spot_LQTYUSDT,LQTY-USDT
Spot_USTCUSDT,USTC-USDT
Spot_GASUSDT,GAS-USDT
Spot_GLMUSDT,GLM-USDT
Spot_IDUSDT,ID-USDT
Spot_ARBUSDT,ARB-USDT
Spot_RDNTUSDT,RDNT-USDT
Spot_WBTCUSDT,WBTC-USDT
Spot_SUIUSDT,SUI-USDT
Spot_AERGOUSDT,AERGO-USDT
Spot_PEPEUSDT,PEPE-USDT
Spot_FLOKIUSDT,FLOKI-USDT
Spot_ASTUSDT,AST-USDT
Spot_SNTUSDT,SNT-USDT
Spot_WLDUSDT,WLD-USDT
Spot_GFTUSDT,GFT-USDT
Spot_IQUSDT,IQ-USDT
